id,start,end,car
1,707,441,5
2,706,446,5
3,705,451,5
4,704,456,5
5,703,461,5
6,702,441,5
7,701,446,5
8,700,451,5
9,718,456,5
10,717,461,5
11,716,441,5
12,715,446,5
13,714,451,5
14,713,456,5
15,712,461,5
16,711,441,5
17,729,446,5
18,728,451,5
19,727,456,5
20,726,461,5
21,725,441,5
22,724,446,5
23,723,451,5
24,722,456,5
25,721,461,5
26,740,466,6
27,739,471,6
28,738,476,6
29,737,481,6
30,736,486,6
31,735,466,6
32,734,471,6
33,733,476,6
34,751,481,6
35,750,486,6
36,749,466,6
37,748,471,6
38,747,476,6
39,746,481,6
40,745,486,6
41,744,466,6
42,762,471,6
43,761,476,6
44,760,481,6
45,759,486,6
46,758,466,6
47,757,471,6
48,756,476,6
49,755,481,6
50,754,486,6
51,773,491,7
52,772,496,7
53,771,501,7
54,770,506,7
55,769,511,7
56,768,491,7
57,767,496,7
58,766,501,7
59,784,506,7
60,783,511,7
61,782,491,7
62,781,496,7
63,780,501,7
64,779,506,7
65,778,511,7
66,777,491,7
67,795,496,7
68,794,501,7
69,793,506,7
70,792,511,7
71,791,491,7
72,790,496,7
73,789,501,7
74,788,506,7
75,787,511,7
76,806,392,8
77,805,397,8
78,804,402,8
79,803,407,8
80,802,412,8
81,801,392,8
82,800,397,8
83,799,402,8
84,817,407,8
85,816,412,8
86,815,392,8
87,814,397,8
88,813,402,8
89,812,407,8
90,811,412,8
91,810,392,8
92,828,397,8
93,827,402,8
94,826,407,8
95,825,412,8
96,824,392,8
97,823,397,8
98,822,402,8
99,821,407,8
100,820,412,8
