id,start,end,car
1,707,441,5
2,706,446,5
3,705,451,5
4,704,456,5
5,703,461,5
6,702,441,5
7,718,446,5
8,717,451,5
9,716,456,5
10,715,461,5
11,714,441,5
12,713,446,5
13,712,451,5
14,729,456,5
15,728,461,5
16,727,441,5
17,726,446,5
18,725,451,5
19,724,456,5
20,723,461,5
21,740,466,6
22,739,471,6
23,738,476,6
24,737,481,6
25,736,486,6
26,735,466,6
27,751,471,6
28,750,476,6
29,749,481,6
30,748,486,6
31,747,466,6
32,746,471,6
33,745,476,6
34,762,481,6
35,761,486,6
36,760,466,6
37,759,471,6
38,758,476,6
39,757,481,6
40,756,486,6
41,773,491,7
42,772,496,7
43,771,501,7
44,770,506,7
45,769,511,7
46,768,491,7
47,784,496,7
48,783,501,7
49,782,506,7
50,781,511,7
51,780,491,7
52,779,496,7
53,778,501,7
54,795,506,7
55,794,511,7
56,793,491,7
57,792,496,7
58,791,501,7
59,790,506,7
60,789,511,7
61,806,392,8
62,805,397,8
63,804,402,8
64,803,407,8
65,802,412,8
66,801,392,8
67,817,397,8
68,816,402,8
69,815,407,8
70,814,412,8
71,813,392,8
72,812,397,8
73,811,402,8
74,828,407,8
75,827,412,8
76,826,392,8
77,825,397,8
78,824,402,8
79,823,407,8
80,822,412,8
